sentiment_num,total_volume,avg_fee,total_PnL
1.0,477.0,0.0,0.0
1.0,113203.35,2.5728028181818186,-205.43473700000007
1.0,10609.95,1.3262445,-24.632033999999997
1.0,15348.77,1.279063,0.0
1.0,116278.02,2.076392785714286,304.982785
1.0,31164.179999999997,3.8955225,0.0
1.0,91602.41,1.5267064,1000.5386120000001
1.0,141636.79,1.9671770555555557,162.732282
1.0,125233.97,0.6389483469387754,537.211402
1.0,88874.28,2.2218566,141.832675
1.0,78438.25,1.5084273076923078,146.936704
1.0,402954.94,2.5830439743589744,1008.619956
1.0,59948.51,4.995708333333333,-245.081348
1.0,171411.06,1.53045525,-704.8892269999999
1.0,100117.25,1.0882304347826086,-970.730876
1.0,569559.72,2.8477980200000004,508.92214299999995
1.0,702550.21,3.377644730769231,354.998648
1.0,264239.52999999997,3.6699926111111107,-129.53146
1.0,121348.74,1.7845397647058823,783.979116
1.0,394499.36,1.4720121044776118,866.015507
1.0,99792.54000000001,4.989626400000001,-67.60364
1.0,1703942.66,6.4543278636363635,164.141565
1.0,298521.4,3.3922882727272725,135.58166400000002
1.0,1048850.06,2.7032212783505156,-835.681235
1.0,1522452.43,2.9735395625,-269.874439
1.0,2057479.48,2.2489371243523317,-1517.091342
1.0,200082.27,7.068675285714285,-1925.519024
1.0,116427.33,1.9243676666666667,-2299.171458
1.0,800831.03,3.0133510566037733,813.2741110000001
1.0,424631.52999999997,2.014302195652174,68.93319
1.0,103129.74,2.343857272727273,266.58114600000005
1.0,337878.99,0.7938619764705882,1375.640959
1.0,414208.18,1.395440608108108,486.562542
1.0,401011.38,2.045975714285714,-173.65419100000003
1.0,6305647.13,1.8037386204889407,-799.840817
1.0,2008.18,0.08367399999999998,0.0
1.0,474278.43,2.1802294285714288,456.423473
1.0,603820.0,1.9582562321428572,223.30918699999998
1.0,203187.53,1.4436251428571427,47.62389499999999
1.0,770198.26,2.299298125,-33.45419400000003
1.0,8047153.41,0.9086461369485294,-215.615907
1.0,6758.73,0.022646200000000002,241.24212
1.0,26051.12,0.3002887,770.756024
1.0,212311.82,0.7339791764705882,983.443176
1.0,227247.69999999998,1.6944944375,913.8817869999998
1.0,320839.88,0.20646372972972976,3830.599833
1.0,185188.04,0.4874015396825397,1840.797677
1.0,564896.51,0.14958884615384616,5491.768834
1.0,157048.17,-0.032380670103092785,477.6248299999999
1.0,119419.72,0.07881217948717949,3263.628824
1.0,373033.87,0.28923386363636366,3894.1050699999996
1.0,4480.13,-0.01792,-30.7705
1.0,192187.14,-0.002505769230769226,4416.8473
1.0,215705.85,0.5779541739130435,6423.134599
1.0,92592.20999999999,0.4678335263157895,1297.018477
1.0,16887.57,0.41530025,126.7884
1.0,95987.73,1.0498651562499999,0.0
1.0,486411.25,1.337069393258427,6621.451755
1.0,659162.17,1.995115925233645,-36104.012520000004
1.0,291111.19,0.9914781463414633,3774.08872
1.0,181907.17,0.3927167021276596,2467.702221
1.0,97562.99,0.7586402142857143,2441.4683999999997
1.0,337257.92000000004,3.372578857142857,1946.4454620000001
1.0,60733.24,5.5131385,0.0
1.0,47993.61,1.8664182222222223,0.0
1.0,233054.9,1.0804314545454545,1119.536196
1.0,141275.24,2.4723157999999996,279.185907
1.0,120241.01,2.16431772972973,0.0
1.0,4988.290000000001,0.581966,0.0
1.0,154264.47,1.999724074074074,4281.488139
1.0,43985.6,0.26543010344827583,0.0
1.0,108699.01,0.8454362222222221,526.9338359999999
1.0,125018.75,1.8231895833333331,0.0
1.0,58998.75,2.2943954444444445,0.0
1.0,24068.350000000002,1.4021296666666665,0.916
1.0,206016.43,8.011749555555555,968.59038
1.0,108717.58,2.1132811666666664,883.537693
1.0,65973.57,1.7751404615384616,1.56576
1.0,221966.12,2.7745761428571427,1147.595856
1.0,156882.0,2.4958495454545453,2101.741695
1.0,55179.56,0.8396882173913044,0.0
1.0,193118.9,2.4139856785714287,2136.853859
1.0,145853.4,2.219508043478261,1150.5233050000002
1.0,234922.57,2.2839690833333335,948.970582
1.0,162620.96,2.108048888888889,214.5898
1.0,126303.14,1.7682436799999999,3522.3946610000003
1.0,29998.09,1.3124158750000001,0.0
