Date,total_PnL,avg_PnL,total_volume,avg_fee
2023-05-01,0.0,0.0,477.0,0.0
2023-12-05,0.0,0.0,50005.83,1.3890505555555555
2023-12-14,-205.43473700000007,-18.675885181818188,113203.35,2.5728028181818186
2023-12-15,-24.632033999999997,-12.316016999999999,10609.95,1.3262445
2023-12-16,0.0,0.0,15348.77,1.279063
2023-12-17,304.982785,21.78448464285714,116278.02,2.076392785714286
2023-12-18,0.0,0.0,31164.179999999997,3.8955225
2023-12-19,1000.5386120000001,66.70257413333334,91602.41,1.5267064
2023-12-20,162.732282,9.040682333333333,141636.79,1.9671770555555557
2023-12-21,537.211402,10.963498000000001,125233.97,0.6389483469387754
2023-12-22,141.832675,14.1832675,88874.28,2.2218566
2023-12-23,146.936704,11.302823384615383,78438.25,1.5084273076923078
2023-12-24,1008.619956,25.862050153846155,402954.94,2.5830439743589744
2023-12-25,-245.081348,-81.69378266666666,59948.51,4.995708333333333
2023-12-27,-704.8892269999999,-25.174615249999995,171411.06,1.53045525
2023-12-28,-970.730876,-42.20569026086957,100117.25,1.0882304347826086
2023-12-29,508.92214299999995,10.178442859999999,569559.72,2.8477980200000004
2023-12-30,354.998648,6.826897076923077,702550.21,3.377644730769231
2024-01-01,-129.53146,-7.196192222222223,264239.52999999997,3.6699926111111107
2024-01-02,783.979116,46.11641858823529,121348.74,1.7845397647058823
2024-01-03,866.015507,12.925604582089552,394499.36,1.4720121044776118
2024-01-04,-67.60364,-13.520728,99792.54000000001,4.989626400000001
2024-01-05,164.141565,2.486993409090909,1703942.66,6.4543278636363635
2024-01-06,135.58166400000002,6.16280290909091,298521.4,3.3922882727272725
2024-01-07,-835.681235,-8.615270463917525,1048850.06,2.7032212783505156
2024-01-08,-269.874439,-2.1083940546875,1522452.43,2.9735395625
2024-01-09,-826.349863,-11.804998042857143,870051.97,2.9144704
2024-01-10,-1517.091342,-7.860576901554404,2057479.48,2.2489371243523317
2024-01-11,-164.08950099999998,-7.813785761904761,305314.1,3.6127224285714283
2024-01-12,-1925.519024,-275.0741462857143,200082.27,7.068675285714285
2024-01-15,152.85358,10.918112857142857,50636.1,0.9037651428571428
2024-01-16,-2299.171458,-255.4634953333333,116427.33,1.9243676666666667
